Recency,Frequency,Monetary,R,F,M,RFM_Group,RFM_Score,Segment
30,10,2442.91,4,5,5,455,14,Champions
15,15,9430.52,4,5,5,455,14,Champions
97,3,1023.02,2,3,4,234,9,Potential Loyalist
29,13,3928.13,4,5,5,455,14,Champions
1,1,794.55,5,1,3,513,9,Potential Loyalist
9,5,4294.86,5,4,5,545,14,Champions
106,1,273.86,2,1,2,212,5,At Risk / Hibernating
4,2,963.49,5,2,4,524,11,Loyal Customers
151,2,830.98,2,2,3,223,7,At Risk / Hibernating
71,1,202.25,3,1,1,311,5,At Risk / Hibernating
5,2,572.95,5,2,3,523,10,Potential Loyalist
3,25,5115.7300000000005,5,5,5,555,15,Champions
32,6,2386.13,4,5,5,455,14,Champions
85,4,979.63,2,4,4,244,10,Potential Loyalist
4,5,707.07,5,4,3,543,12,Loyal Customers
5,4,923.41,5,4,3,543,12,Loyal Customers
371,1,371.8,1,1,2,112,4,Lost
28,7,2411.1,4,5,5,455,14,Champions
11,7,3440.7,5,5,5,555,15,Champions
71,4,728.33,3,4,3,343,10,Potential Loyalist
114,1,417.01,2,1,2,212,5,At Risk / Hibernating
24,12,18751.91,4,5,5,455,14,Champions
180,1,218.26000000000002,1,1,1,111,3,Lost
234,1,383.95,1,1,2,112,4,Lost
353,1,110.39999999999999,1,1,1,111,3,Lost
315,2,689.5699999999999,1,2,3,123,6,At Risk / Hibernating
333,1,144.0,1,1,1,111,3,Lost
372,1,137.35,1,1,1,111,3,Lost
99,1,975.54,2,1,4,214,7,At Risk / Hibernating
64,1,427.6,3,1,2,312,6,At Risk / Hibernating
134,2,546.43,2,2,3,223,7,At Risk / Hibernating
56,4,9120.39,3,4,5,345,12,Loyal Customers
2,11,4196.01,5,5,5,555,15,Champions
1,206,32317.32,5,5,5,555,15,Champions
4,5,4090.88,5,4,5,545,14,Champions
129,1,275.88,2,1,2,212,5,At Risk / Hibernating
81,1,4366.78,2,1,5,215,8,Potential Loyalist
23,6,21429.39,4,5,5,455,14,Champions
236,3,3010.74,1,3,5,135,9,Potential Loyalist
281,2,3811.95,1,2,5,125,8,Potential Loyalist
87,1,112.07999999999998,2,1,1,211,4,Lost
16,9,4199.2,4,5,5,455,14,Champions
117,2,2791.59,2,2,5,225,9,Potential Loyalist
52,3,1411.44,3,3,4,334,10,Potential Loyalist
8,2,1702.52,5,2,4,524,11,Loyal Customers
138,2,494.08,2,2,3,223,7,At Risk / Hibernating
317,1,1693.88,1,1,4,114,6,At Risk / Hibernating
4,7,6457.63,5,5,5,555,15,Champions
239,1,1143.6,1,1,4,114,6,At Risk / Hibernating
211,1,1351.45,1,1,4,114,6,At Risk / Hibernating
60,1,752.47,3,1,3,313,7,At Risk / Hibernating
17,5,1281.04,4,4,4,444,12,Loyal Customers
20,6,693.23,4,5,3,453,12,Loyal Customers
38,8,3981.36,3,5,5,355,13,Loyal Customers
64,2,786.74,3,2,3,323,8,Potential Loyalist
5,5,1938.92,5,4,4,544,13,Loyal Customers
2,4,1295.87,5,4,4,544,13,Loyal Customers
15,1,518.42,4,1,3,413,8,Potential Loyalist
364,1,255.95,1,1,2,112,4,Lost
10,3,418.66,5,3,2,532,10,Potential Loyalist
65,1,76.85,3,1,1,311,5,At Risk / Hibernating
192,1,294.92,1,1,2,112,4,Lost
374,1,177.60000000000002,1,1,1,111,3,Lost
257,1,344.53999999999996,1,1,2,112,4,Lost
335,2,461.48,1,2,2,122,5,At Risk / Hibernating
53,2,860.41,3,2,3,323,8,Potential Loyalist
19,1,318.48,4,1,2,412,7,At Risk / Hibernating
366,1,226.03,1,1,1,111,3,Lost
10,3,6977.04,5,3,5,535,13,Loyal Customers
187,1,397.58,1,1,2,112,4,Lost
37,3,455.65000000000003,3,3,2,332,8,Potential Loyalist
178,1,405.31,2,1,2,212,5,At Risk / Hibernating
262,2,458.85,1,2,2,122,5,At Risk / Hibernating
45,1,229.64000000000001,3,1,1,311,5,At Risk / Hibernating
102,1,85.92,2,1,1,211,4,Lost
148,2,863.46,2,2,3,223,7,At Risk / Hibernating
96,2,452.20000000000005,2,2,2,222,6,At Risk / Hibernating
281,1,126.03999999999999,1,1,1,111,3,Lost
262,1,1182.0800000000002,1,1,4,114,6,At Risk / Hibernating
3,4,942.34,5,4,4,544,13,Loyal Customers
214,1,92.72,1,1,1,111,3,Lost
71,2,948.88,3,2,4,324,9,Potential Loyalist
75,5,1759.5,2,4,4,244,10,Potential Loyalist
60,1,397.12,3,1,2,312,6,At Risk / Hibernating
3,7,1474.72,5,5,4,554,14,Champions
6,3,430.15000000000003,5,3,2,532,10,Potential Loyalist
3,6,1018.71,5,5,4,554,14,Champions
337,2,293.0,1,2,2,122,5,At Risk / Hibernating
38,6,6814.64,3,5,5,355,13,Loyal Customers
262,1,215.05,1,1,1,111,3,Lost
32,2,383.03,4,2,2,422,8,Potential Loyalist
145,1,417.38,2,1,2,212,5,At Risk / Hibernating
283,1,312.38,1,1,2,112,4,Lost
59,4,2612.86,3,4,5,345,12,Loyal Customers
173,1,134.1,2,1,1,211,4,Lost
34,2,683.13,3,2,3,323,8,Potential Loyalist
3,14,5591.42,5,5,5,555,15,Champions
144,4,2726.77,2,4,5,245,11,Loyal Customers
5,25,4022.35,5,5,5,555,15,Champions
70,2,1118.99,3,2,4,324,9,Potential Loyalist
66,8,1702.26,3,5,4,354,12,Loyal Customers
29,2,325.96000000000004,4,2,2,422,8,Potential Loyalist
267,4,354.09,1,4,2,142,7,At Risk / Hibernating
22,1,871.54,4,1,3,413,8,Potential Loyalist
31,2,1033.25,4,2,4,424,10,Potential Loyalist
97,1,135.18,2,1,1,211,4,Lost
295,1,311.55,1,1,2,112,4,Lost
135,6,1957.1000000000001,2,5,4,254,11,Loyal Customers
79,3,1324.5,2,3,4,234,9,Potential Loyalist
373,1,38.1,1,1,1,111,3,Lost
8,6,2179.93,5,5,5,555,15,Champions
211,2,1106.4,1,2,4,124,7,At Risk / Hibernating
52,1,521.2,3,1,3,313,7,At Risk / Hibernating
138,1,147.12,2,1,1,211,4,Lost
26,2,1568.23,4,2,4,424,10,Potential Loyalist
283,1,499.12,1,1,3,113,5,At Risk / Hibernating
26,7,4036.82,4,5,5,455,14,Champions
186,6,1607.0600000000002,1,5,4,154,10,Potential Loyalist
84,2,380.64,2,2,2,222,6,At Risk / Hibernating
327,2,599.97,1,2,3,123,6,At Risk / Hibernating
282,1,374.0,1,1,2,112,4,Lost
143,2,343.2300000000001,2,2,2,222,6,At Risk / Hibernating
58,2,2053.02,3,2,5,325,10,Potential Loyalist
4,12,1535.77,5,5,4,554,14,Champions
236,2,854.99,1,2,3,123,6,At Risk / Hibernating
45,3,573.22,3,3,3,333,9,Potential Loyalist
276,1,298.0,1,1,2,112,4,Lost
9,2,1463.04,5,2,4,524,11,Loyal Customers
25,4,703.47,4,4,3,443,11,Loyal Customers
88,1,309.05,2,1,2,212,5,At Risk / Hibernating
63,3,1175.22,3,3,4,334,10,Potential Loyalist
68,2,1378.4,3,2,4,324,9,Potential Loyalist
214,2,354.12,1,2,2,122,5,At Risk / Hibernating
24,1,380.46999999999997,4,1,2,412,7,At Risk / Hibernating
186,3,331.0,1,3,2,132,6,At Risk / Hibernating
31,1,188.14,4,1,1,411,6,At Risk / Hibernating
42,2,372.8,3,2,2,322,7,At Risk / Hibernating
205,2,216.5,1,2,1,121,4,Lost
9,28,17654.54,5,5,5,555,15,Champions
265,1,138.68,1,1,1,111,3,Lost
18,2,509.58,4,2,3,423,9,Potential Loyalist
12,5,2919.81,5,4,5,545,14,Champions
176,2,750.0,2,2,3,223,7,At Risk / Hibernating
40,5,2178.67,3,4,5,345,12,Loyal Customers
23,8,3075.04,4,5,5,455,14,Champions
3,5,1662.3,5,4,4,544,13,Loyal Customers
5,5,2483.63,5,4,5,545,14,Champions
149,2,363.65,2,2,2,222,6,At Risk / Hibernating
139,4,3006.15,2,4,5,245,11,Loyal Customers
128,1,594.0,2,1,3,213,6,At Risk / Hibernating
8,6,1335.19,5,5,4,554,14,Champions
17,1,164.23,4,1,1,411,6,At Risk / Hibernating
9,37,16587.09,5,5,5,555,15,Champions
161,1,405.38,2,1,2,212,5,At Risk / Hibernating
64,1,175.72,3,1,1,311,5,At Risk / Hibernating
88,4,925.75,2,4,3,243,9,Potential Loyalist
5,2,694.05,5,2,3,523,10,Potential Loyalist
35,5,2062.7000000000003,3,4,5,345,12,Loyal Customers
312,1,117.85,1,1,1,111,3,Lost
78,2,415.8,2,2,2,222,6,At Risk / Hibernating
22,15,42055.96,4,5,5,455,14,Champions
24,3,607.53,4,3,3,433,10,Potential Loyalist
2,7,2160.7,5,5,5,555,15,Champions
17,4,1063.9,4,4,4,444,12,Loyal Customers
15,4,1504.27,4,4,4,444,12,Loyal Customers
26,1,114.14,4,1,1,411,6,At Risk / Hibernating
64,8,11581.8,3,5,5,355,13,Loyal Customers
55,2,913.54,3,2,3,323,8,Potential Loyalist
131,3,683.9,2,3,3,233,8,Potential Loyalist
36,2,604.51,3,2,3,323,8,Potential Loyalist
288,1,462.95,1,1,2,112,4,Lost
144,6,1603.99,2,5,4,254,11,Loyal Customers
16,7,2064.95,4,5,5,455,14,Champions
31,8,4167.22,4,5,5,455,14,Champions
2,3,1843.0,5,3,4,534,12,Loyal Customers
9,6,1064.07,5,5,4,554,14,Champions
6,4,1387.79,5,4,4,544,13,Loyal Customers
10,1,329.85,5,1,2,512,8,Potential Loyalist
1,11,4757.16,5,5,5,555,15,Champions
306,1,108.07,1,1,1,111,3,Lost
10,8,4017.54,5,5,5,555,15,Champions
7,2,266.39,5,2,2,522,9,Potential Loyalist
8,8,1856.63,5,5,4,554,14,Champions
89,1,771.91,2,1,3,213,6,At Risk / Hibernating
10,1,160.18,5,1,1,511,7,At Risk / Hibernating
358,2,1660.9,1,2,4,124,7,At Risk / Hibernating
112,1,135.95,2,1,1,211,4,Lost
7,4,452.24,5,4,2,542,11,Loyal Customers
4,86,11189.91,5,5,5,555,15,Champions
198,1,144.8,1,1,1,111,3,Lost
212,1,738.6,1,1,3,113,5,At Risk / Hibernating
156,1,39.239999999999995,2,1,1,211,4,Lost
158,9,7374.900000000001,2,5,5,255,12,Loyal Customers
30,2,372.21999999999997,4,2,2,422,8,Potential Loyalist
243,1,390.54,1,1,2,112,4,Lost
19,1,97.5,4,1,1,411,6,At Risk / Hibernating
1,2,1239.38,5,2,4,524,11,Loyal Customers
74,2,558.7,2,2,3,223,7,At Risk / Hibernating
292,1,535.32,1,1,3,113,5,At Risk / Hibernating
3,15,6924.110000000001,5,5,5,555,15,Champions
31,3,409.5,4,3,2,432,9,Potential Loyalist
23,2,503.76,4,2,3,423,9,Potential Loyalist
23,4,414.76,4,4,2,442,10,Potential Loyalist
4,3,974.4200000000001,5,3,4,534,12,Loyal Customers
85,1,211.32,2,1,1,211,4,Lost
22,4,1226.89,4,4,4,444,12,Loyal Customers
196,3,455.88,1,3,2,132,6,At Risk / Hibernating
107,3,534.85,2,3,3,233,8,Potential Loyalist
4,13,9818.82,5,5,5,555,15,Champions
318,1,120.94999999999999,1,1,1,111,3,Lost
106,3,149.05,2,3,1,231,6,At Risk / Hibernating
12,18,5655.91,5,5,5,555,15,Champions
174,2,513.7,2,2,3,223,7,At Risk / Hibernating
56,1,81.57,3,1,1,311,5,At Risk / Hibernating
323,1,229.46999999999997,1,1,1,111,3,Lost
372,1,50.550000000000004,1,1,1,111,3,Lost
9,8,1661.8400000000001,5,5,4,554,14,Champions
1,13,4810.9400000000005,5,5,5,555,15,Champions
11,10,3466.2799999999997,5,5,5,555,15,Champions
53,5,3346.28,3,4,5,345,12,Loyal Customers
73,3,789.89,2,3,3,233,8,Potential Loyalist
7,1,204.0,5,1,1,511,7,At Risk / Hibernating
16,28,7277.7,4,5,5,455,14,Champions
4,9,2616.38,5,5,5,555,15,Champions
64,2,599.9,3,2,3,323,8,Potential Loyalist
1,5,975.36,5,4,4,544,13,Loyal Customers
114,6,6912.0,2,5,5,255,12,Loyal Customers
23,2,661.3199999999999,4,2,3,423,9,Potential Loyalist
